company,state_l,state_s,city,metro,industry,website
Skillz,California,CA,San Francisco,San Francisco,Software,http://skillz.com
EnviroSolar Power,Texas,TX,Fort Worth,Dallas,Energy,http://envirosolarpower.com
Gametime,California,CA,San Francisco,San Francisco,Consumer Products & Services,http://gametime.co
Club Pilates Franchise,California,CA,Costa Mesa,Los Angeles,Consumer Products & Services,http://clubpilates.com
Halo Top Creamery,California,CA,Los Angeles,Los Angeles,Food & Beverage,http://halotop.com
Small Business Owners of America,Ohio,OH,Columbus,"Columbus, OH",Financial Services,http://sbooa.com
AutomotiveMastermind,New York,NY,New York City,New York City,Software,http://automotivemastermind.com
Liftoff,California,CA,Palo Alto,San Jose,Advertising & Marketing,http://liftoff.io
Greenspire,California,CA,Los Angeles,Los Angeles,Energy,http://greenspirehome.com
FormulaFolio Investments,Michigan,MI,Grand Rapids,"Grand Rapids-Wyoming, MI",Financial Services,http://formulafolios.com
Single Serve Beverage Distribution,New Jersey,NJ,Newark,New York City,Food & Beverage,ssbdistribution.com
ShipHawk,California,CA,Goleta,"Santa Maria-Santa Barbara, CA",Logistics & Transportation,shiphawk.com
Adva-Net,Florida,FL,Lakewood Ranch,"North Port-Sarasota-Bradenton, FL",Health,adva-net.com
DashBid,New York,NY,New York City,New York City,Advertising & Marketing,dashbid.com
Forward Financing,Massachusetts,MA,Boston,Boston,Financial Services,forwardfinancing.com
Solera Specialty Pharmacy,Florida,FL,Pompano Beach,Miami,Health,solerarx.com
Strike Social,Illinois,IL,Chicago,Chicago,Advertising & Marketing,http://strikesocial.com
Reverb.com,Illinois,IL,Chicago,Chicago,Retail,reverb.com
Excel Impact,Ohio,OH,Medina,Cleveland,Insurance,http://excelimpact.com
DGC International,Virginia,VA,Vienna,"Washington, DC",Government Services,dgci.com
Shofur,Georgia,GA,Atlanta,Atlanta,Logistics & Transportation,shofur.com
GrowthPlay,Illinois,IL,Chicago,Chicago,Business Products & Services,growthplay.com
CalCom Solar,California,CA,Visalia,"Visalia-Porterville, CA",Energy,calcomsolar.com
ION Solar,Utah,UT,Provo,"Provo-Orem, UT",Energy,ionsolar.com
The Penny Hoarder,Florida,FL,St. Petersburg,Tampa,Media,thepennyhoarder.com
Matterport,California,CA,Sunnyvale,San Jose,Media,http://matterport.com
Legend Solar,Utah,UT,Washington,"St. George, UT",Energy,legendsolar.com
SaviLinx,Maine,ME,Brunswick,"Portland-South Portland, ME",Business Products & Services,savilinx.com
TechAnax,Virginia,VA,Woodbridge,"Washington, DC",Government Services,techanax.com
Spar Information Systems,Texas,TX,Plano,Dallas,IT Services,http://sparinfosys.com
Big Block Realty,California,CA,San Diego,San Diego,Real Estate,bigblockrealty.com
RelationEdge,California,CA,Carlsbad,San Diego,Business Products & Services,relationedge.com
Globalization Partners,Massachusetts,MA,Boston,Boston,Business Products & Services,http://globalization-partners.com
Carvana,Arizona,AZ,Tempe,Phoenix,Retail,carvana.com
Axe Wellness,Tennessee,TN,Franklin,Nashville,Health,draxe.com
Interactive Government Holdings,Virginia,VA,Springfield,"Washington, DC",Government Services,interactivegov.com
Bay State Search,Massachusetts,MA,Boston,Boston,Human Resources,baystatesearch.com
Enhanced Veterans Solutions,Virginia,VA,Fairfax,"Washington, DC",Government Services,enhancedvets.com
Dealer Inspire,Illinois,IL,Naperville,Chicago,Software,dealerinspire.com
Na Ali'i Consulting and Sales,Hawaii,HI,Honolulu,"Urban Honolulu, HI",Government Services,na-alii.com
Dyla,New Jersey,NJ,West New York,New York City,Food & Beverage,http://fortocoffee.com
BlackRock Construction,Vermont,VT,South Burlington,"Burlington-South Burlington, VT",Construction,http://blackrockus.com
MM.LaFleur,New York,NY,New York City,New York City,Consumer Products & Services,mmlafleur.com
Lever1,Missouri,MO,Kansas City,"Kansas City, MO-KS",Business Products & Services,http://lever1.com
TrackR,California,CA,Santa Barbara,"Santa Maria-Santa Barbara, CA",Consumer Products & Services,http://thetrackr.com
ByteCubed,Virginia,VA,Arlington,"Washington, DC",IT Services,bytecubed.com
Avant,Illinois,IL,Chicago,Chicago,Financial Services,avant.com
iBenzer,New York,NY,College Point,New York City,Consumer Products & Services,ibenzer.com
Boost Marketing Group,Michigan,MI,Ada,"Grand Rapids-Wyoming, MI",Advertising & Marketing,boostgr.com
FedBiz IT Solutions,Virginia,VA,Leesburg,"Washington, DC",Government Services,fedbizit.com
BASX Solutions,Oregon,OR,Redmond,"Bend-Redmond, OR",Manufacturing,basxsolutions.com
Discount Power Texas,Texas,TX,Houston,Houston,Energy,discountpowertx.com
Lauren James Enterprises,Arkansas,AR,Fayetteville,"Fayetteville-Springdale-Rogers, AR-MO",Retail,laurenjames.com
Boomsourcing,Utah,UT,Lehi,"Provo-Orem, UT",Business Products & Services,boomsourcing.com
ClearView,Wisconsin,WI,Madison,"Madison, WI",Software,clearviewaudit.com
Samba TV,California,CA,San Francisco,San Francisco,Advertising & Marketing,samba.tv
Thought Logic Consulting,Georgia,GA,Atlanta,Atlanta,Business Products & Services,thought-logic.com
