Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,"Aberdeen",499692,218798,38619,16995,1,57.3008,-2.30768
AL,"St Albans",249911,99209,11266,7746,0,51.7755,-0.283836
B,"Birmingham",1904293,750842,60739,41438,0,52.4652,-1.88879
BA,"Bath",434539,183530,19719,15040,0,51.2294,-2.41749
BB,"Blackburn",488564,202015,18678,13138,0,53.7872,-2.3339
BD,"Bradford",578374,223952,23201,16997,12,53.8287,-1.82869
BF,"British Forces",,,48,48,0,36.3495,-4.67733
BH,"Bournemouth",552110,242907,22020,15159,0,50.7504,-1.89078
BL,"Bolton",379929,159979,13824,10287,0,53.5868,-2.4079
BN,"Brighton",802838,356367,34600,21942,1,50.8289,-0.119917
BR,"Bromley",299157,124954,10505,6848,0,51.3944,0.0424566
BS,"Bristol",940076,398197,44922,26659,0,51.4488,-2.62257
BT,"Northern Ireland",1787720,693967,61330,48993,849,54.6037,-6.38083
CA,"Carlisle",318114,140587,16083,12586,0,54.7318,-3.10855
CB,"Cambridge",421151,167640,18917,10415,0,52.2065,0.189095
CF,"Cardiff",1005305,419896,42074,23307,0,51.5344,-3.29361
CH,"Chester",659880,285880,24034,18791,0,53.2905,-3.02019
CM,"Chelmsford",653626,270044,26878,17741,0,51.758,0.40396
CO,"Colchester",411411,176939,17742,13090,0,51.903,0.924464
CR,"Croydon",405236,158695,14489,8032,0,51.356,-0.103223
CT,"Canterbury",482627,206290,19534,14804,0,51.2555,1.23147
CV,"Coventry",821033,341504,27791,20186,0,52.3675,-1.50124
CW,"Crewe",309487,130803,13780,9463,0,53.1552,-2.45001
DA,"Dartford",430139,173329,12674,9022,0,51.4422,0.220479
DD,"Dundee",280568,128312,11223,8953,0,56.5368,-2.86449
DE,"Derby",730125,306586,29720,17091,0,52.9334,-1.49116
DG,"Dumfries and Galloway",151139,67885,7690,6825,1,55.0227,-3.88073
DH,"Durham",309030,132814,11366,8948,0,54.825,-1.61398
DL,"Darlington",360734,156814,16572,13275,0,54.5329,-1.65972
DN,"Doncaster",756058,320303,27570,21620,0,53.5411,-0.720168
DT,"Dorchester",212796,93053,9695,7807,0,50.7547,-2.48313
DY,"Dudley",410847,171692,14352,10986,0,52.4536,-2.17688
E,"East London",989043,370613,27826,16438,0,51.5435,-0.0157792
EC,"Central London",33956,17102,12479,3877,0,51.5187,-0.0967315
EH,"Edinburgh",868113,389353,31993,24347,2,55.9266,-3.22779
EN,"Enfield",344780,137907,12921,8529,61,51.6816,-0.0863939
EX,"Exeter",547401,235895,28278,22205,0,50.8268,-3.65598
FK,"Falkirk and Stirling",276371,119790,9540,7703,0,56.0772,-3.85941
FY,"Blackpool",276593,125986,9960,7264,0,53.8249,-3.02281
G,"Glasgow",1183614,540601,46388,31612,0,55.8688,-4.26834
GL,"Gloucester",605458,257602,28268,20939,0,51.8369,-2.17607
GU,"Guildford",726120,288537,35181,22116,0,51.2316,-0.717414
HA,"Harrow",480678,169132,17302,10296,0,51.5853,-0.336109
HD,"Huddersfield",262843,111694,10651,7114,0,53.6302,-1.78276
HG,"Harrogate",138214,59455,6255,4395,0,54.0373,-1.54623
HP,"Hemel Hempstead",488592,195951,21506,13918,0,51.7243,-0.691034
HR,"Hereford",176308,75400,7836,6353,0,52.0658,-2.71963
HS,"Outer Hebrides",27663,12565,1084,963,0,57.9784,-6.69438
