Age,Average,0.25,0.5,0.75,0.9,0.99
18,8419.92,1600,5000,10500,20501,53006
19,13484.63,3013,10000,18584,29000,68000
20,17456.99,6005,14438,24005,35000,75001
21,21927.80,9000,18000,29000,40505,100000
22,23680.10,8200,18501,30000,45005,110000
23,28823.74,12000,23000,35001,51010,112512
24,32411.95,15205,27000,40170,60000,133081
25,38777.43,19500,31026,50000,70110,151101
26,43940.47,20100,34000,53000,76801,210005
27,41844.25,21000,33003,52000,74800,172000
28,43839.07,22001,36000,56345,80190,175007
29,49648.75,25000,40000,61000,93367,200000
30,48241.83,24000,40000,60101,90030,210005
31,52198.99,25000,42000,65125,98150,210241
32,55369.57,25331,42000,67502,106750,256200
33,56303.55,25000,41800,68000,105000,278604
34,55846.51,25000,42202,69000,102523,250125
35,63208.57,27002,46000,79000,120000,314140
36,62349.18,26010,46805,77001,120040,328985
37,62651.61,28000,47581,76001,112115,330451
38,65927.26,28000,49502,80055,127565,344055
39,65655.99,27005,50000,78111,122773,300401
40,67409.78,27509,47529,80400,126384,409164
41,64725.98,27002,50000,78101,126635,330132
42,69979.17,28000,50000,81015,140000,409164
43,66558.13,29255,50000,83025,130000,345081
44,68586.57,28000,50012,82000,132002,320002
45,74123.42,30000,50100,88450,140722,463560
46,68458.79,28809,50001,81026,132999,340127
47,69976.13,30000,50000,80302,138456,360305
48,68355.00,30000,50262,81101,130001,343299
49,68722.18,29200,50031,80334,130006,384700
50,76824.21,30000,50210,88000,142500,650001
51,71747.16,28000,50005,85308,141755,361850
52,69358.36,27220,50780,84000,132922,386969
53,76667.95,29922,50300,86550,150200,490330
54,74347.09,30000,51571,85000,140700,473100
55,69780.96,29003,50000,82004,145050,353004
56,70762.18,30000,50325,84001,135200,425171
57,77965.45,28800,50050,85002,150090,571010
58,72677.86,28001,50010,83803,136750,374619
59,70758.67,30000,50001,86207,147001,335226
60,74781.76,30000,50000,83000,140000,480600
61,68990.69,29000,48025,81200,137225,316852
62,70455.68,27001,50000,86000,140003,405137
63,67963.07,28000,49002,80951,142229,340411
64,70202.60,28004,50282,85767,139400,353485
65,67327.07,28684,49009,80019,126898,391000
66,70053.91,28287,50000,89092,143475,339280
67,72848.08,30000,50201,89502,147019,377281
68,78342.62,31000,50000,86480,150652,717400
69,72454.02,29396,48100,82196,154881,371250
70,83501.94,30149,53260,89104,167570,729000
71,72900.43,27976,50962,83890,156608,413489
72,80289.49,29440,50312,91940,182182,595091
73,78893.76,30171,49711,92111,171895,423119
74,73914.76,30690,46709,79231,135060,450435
75,83296.55,28527,47726,101337,170469,535083
76,68950.29,25352,49147,81300,157300,394147
77,57016.60,23478,40800,66371,115359,320000
78,69880.52,22724,38460,74491,139608,411400
79,56169.67,24880,39914,74320,122800,221335
80,62235.20,27002,47170,79041,129139,242390
