Occupation,Total
Manager,5299
Driver,3608
Elementary and middle school teacher,3604
Registered nurse,3242
First-line supervisors of retail sales worker,3232
Cashier,3164
Retail salesperson,3105
Community and social service,2717
Secretary or administrative assistant,2688
Customer service representative,2552
Janitor or building cleaner,2265
"Laborer or freight, stock or material mover",2235
"Nursing, psychiatric or home health aide",2086
Construction laborer,2051
Waiter or waitress,2038
Cook,2031
Accountant or auditor,1964
"Software developer, application or systems software",1815
Chief executive,1602
Stock clerk or order filler,1512
Maid or housekeeping cleaner,1475
Personal care aide,1458
Postsecondary teacher,1386
"Office clerk, general",1355
First-line supervisors of office and administrative support worker,1306
Carpenter,1292
Receptionist or information clerk,1288
"Sales representative, wholesale and manufacturing",1281
Grounds maintenance worker,1273
Food service manager,1249
First-line supervisors of non-retail sales worker,1247
Lawyer,1240
Financial manager,1194
Childcare worker,1193
Marketing and sales manager,1184
"Production worker",1141
Physician or surgeon,1098
Real estate broker or sales agent,1095
Food preparation worker,1079
General and operations manager,1058
Other teacher or instructor,1017
Secondary school teacher,1015
"Bookkeeping, accounting or auditing clerk",1015
Miscellaneous assembler or fabricator,1001
Teacher assistant,999
Construction manager,994
Designer,983
"Farmer, rancher or other agricultural manager",962
Education administrator,958
Management analyst,950
Security guard or gaming surveillance officer,937
Counselor,927
Electrician,914
Automotive service technician or mechanic,880
Miscellaneous agricultural worker,866
First-line supervisors of production and operating worker,844
Social worker,823
"Computer occupation",808
"Hairdresser, hairstylist or cosmetologist",803
"Inspector, tester, sorter, sampler or weigher",802
Taxi driver or chauffeur,790
"Property, real estate or community association manager",780
Human resources worker,770
Police and sheriff's patrol officer,716
Health practitioner support technologist or technician,710
Licensed practical and licensed vocational nurse,687
First-line supervisors of construction trade or extraction worker,682
Medical and health services manager,677
Computer systems analyst,663
Preschool and kindergarten teacher,655
Computer and information systems manager,654
"Pipelayer, plumber, pipefitter or steamfitter",637
"Packer",628
"Office and administrative support worker",618
"Painter, construction and maintenance",599
First-line supervisors of food preparation and serving worker,597
Medical assistant,596
Insurance sales agent,595
"Welding, soldering or brazing worker",592
"Engineer",582
"Maintenance and repair worker, general",579
Industrial truck and tractor operator,571
"Shipping, receiving or traffic clerk",563
"Sales representative, service",557
Personal financial advisor,551
Computer support specialist,547
Bus driver,546
"Engineering technician, except drafter",496
Civil engineer,475
Chef or head cook,474
Social and community service manager,470
"Heating, air conditioning or refrigeration mechanic or installer",466
Bartender,464
Billing and posting clerk,459
Computer programmer,454
Paralegal or legal assistant,444
Recreation and fitness worker,440
Clergy,413
Miscellaneous personal appearance worker,409
Industrial and refractory machinery mechanic,408
Credit counselor or loan officer,403
Courier or messenger,402
Diagnostic related technologist or technician,398
"Metal worker or plastic worker",392
Operating engineer or other construction equipment operator,375
Machinist,375
"Bailiff, correctional officer or jailer",372
"Combined food preparation and serving worker, including fast food",372
Market research analyst or marketing specialist,369
First-line supervisors of housekeeping and janitorial worker,352
Mechanical engineer,351
Bu or truck mechanic or diesel engine specialist,347
Financial analyst,345
"Athlete, coache, umpire or related worker",345
Cleaners of vehicle or equipment,344
Pharmacist,341
Dining room and cafeteria attendant or bartender helper,338
Special education teacher,331
Postal service mail carrier,331
Clinical laboratory technologist or technician,323
"Host or hostess, restaurant, lounge or coffee shop",322
Human resources manager,321
"Claims adjuster, appraiser, examiner or investigator",318
Firefighter,318
Physical therapist,304
Compliance officer,298
"Physical scientist",298
"Production, planning or expediting clerk",297
"Butcher or other meat, poultry or fish processing worker",297
Nonfarm animal caretaker,296
Teller,294
Electrical and electronics engineer,285
"First-line supervisors of landscaping, lawn service or groundskeeping worker",285
Dental assistant,284
"Sale or related worker",284
"Transportation, storage or distribution manager",281
"Purchasing agent, except wholesale, retail or farm product",279
Industrial production manager,274
"First-line supervisors of mechanic, installer or repairer",272
"Business operations specialist",269
Insurance claim or policy processing clerk,269
Dishwasher,264
Packaging and filling machine operator or tender,262
Dispatcher,261
Data entry keyer,250
Artist or related worker,248
"Industrial engineer, including health and safety",245
Social and human service assistant,238
"Therapist",235
Psychologist,234
"Securitie, commoditie or financial services sales agent",231
Baker,228
Purchasing manager,227
"Wholesale and retail buyer, except farm product",226
Writer or author,225
Nurse practitioner,225
Roofer,222
First-line supervisors of personal service worker,213
First-line supervisors of gaming worker,211
Heavy vehicle and mobile equipment service technician or mechanic,211
Miscellaneous entertainment attendant or related worker,210
"Architect, except naval",208
Dental hygienist,208
Emergency medical technician or paramedic,206
Miscellaneous healthcare support,206
Supervisors of transportation and material moving worker,206
"Musician, singer or related worker",202
"Counter attendant, cafeteria, food concession or coffee shop",200
Network and computer systems administrator,199
Web developer,193
Miscellaneous legal support worker,193
"Food server",191
Advertising sales agent,190
"Other education, training or library worker",189
Photographer,188
Producer or director,186
Medical record or health information technician,185
Administrative services manager,184
"Computer, automated teller or office machine repairer",184
Telecommunications line installer or repairer,184
Massage therapist,183
Speech-language pathologist,180
Librarian,179
"Other installation, maintenance or repair worker",179
Sewing machine operator,179
"Personal care and service worker",178
"Drywall installer, ceiling tile installer or taper",178
File clerk,175
Painting worker,171
Medical scientist,170
"Carpet, floor or tile installer or finisher",170
Detective or criminal investigator,164
Lodging manager,162
Dentist,162
Payroll and timekeeping clerk,155
